"anxiety_level","self_esteem","mental_health_history","depression","headache","blood_pressure","sleep_quality","breathing_problem","noise_level","living_conditions","safety","basic_needs","academic_performance","study_load","teacher_student_relationship","future_career_concerns","social_support","peer_pressure","extracurricular_activities","bullying","stress_level"
0.666666666666667,0.666666666666667,0,0.407407407407407,0.4,0,0.4,0.8,0.4,0.6,0.6,0.4,0.6,0.4,0.6,0.6,0.666666666666667,0.6,0.6,0.4,0.5
0.714285714285714,0.266666666666667,1,0.555555555555556,1,1,0.2,0.8,0.6,0.2,0.4,0.4,0.2,0.8,0.2,1,0.333333333333333,0.8,1,1,1
0.571428571428571,0.6,1,0.518518518518518,0.4,0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.4,0.666666666666667,0.6,0.4,0.4,0.5
0.761904761904762,0.4,1,0.555555555555556,0.8,1,0.2,0.6,0.8,0.4,0.4,0.4,0.4,0.8,0.2,0.8,0.333333333333333,0.8,0.8,1,1
0.761904761904762,0.933333333333333,0,0.259259259259259,0.4,1,1,0.2,0.6,0.4,0.8,0.6,0.8,0.6,0.2,0.4,0.333333333333333,1,0,1,0.5
0.952380952380952,0.433333333333333,1,0.777777777777778,0.6,1,0.2,0.8,0.6,0.4,0.4,0.2,0.4,1,0.4,1,0.333333333333333,0.8,0.8,1,1
0.19047619047619,0.866666666666667,0,0.222222222222222,0.2,0.5,0.8,0.2,0.2,0.8,0.8,0.8,1,0.2,0.8,0.2,1,0.4,0.4,0.2,0
0.80952380952381,0.1,1,0.814814814814815,0.8,1,0.2,1,0.6,0.2,0.2,0.2,0.2,0.6,0.4,0.8,0.333333333333333,0.8,0.8,1,1
0.619047619047619,0.733333333333333,1,0.444444444444444,0.6,0,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,1,0.6,0.4,0.4,0.5
0.285714285714286,0.266666666666667,0,1,0.8,1,0.2,0.4,0,1,0.4,0.4,0.4,0.4,0.2,1,0.333333333333333,1,0.6,0.8,0.5
0.80952380952381,0.4,1,0.925925925925926,0.8,1,0.2,0.6,0.8,0.4,0.2,0.2,0.2,0.6,0.2,0.8,0.333333333333333,0.8,0.8,1,1
0.80952380952381,0.5,1,0.814814814814815,0.6,1,0.2,1,1,0.4,0.2,0.2,0.2,0.6,0.2,0.8,0.333333333333333,1,1,0.8,1
0.238095238095238,0.933333333333333,0,0.296296296296296,0.2,0.5,0.8,0.4,0.4,0.6,1,1,1,0.4,0.8,0.2,1,0.2,0.2,0.2,0
0.428571428571429,0.766666666666667,1,0.888888888888889,0.8,1,0.2,0,0.2,0.4,0.8,0.6,0.2,0.4,0.6,0.6,0,0.2,0,0.2,1
0.0952380952380952,0.933333333333333,0,0.111111111111111,0.2,0.5,0.8,0.4,0.2,0.6,0.8,0.8,0.8,0.4,1,0.2,1,0.2,0.4,0.2,0
